Username,ID,Money Available,Role,Password,First Name,DOB,Flights Purchased,MinerAirlines Membership,Last Name
pinocchiodisney,30,44.74,Customer,Fun!23,Pinocchio,6/25/83,6,false,Disney,
princeeric,31,65.4,Customer,Fun!23,Prince,7/11/07,5,false,Eric,
quasimododisney,32,95.97,Customer,Fun!23,Quasimodo,11/12/78,4,true,Disney,
herculesdisney,33,39.15,Customer,Fun!23,Hercules,6/16/18,4,true,Disney,
mulandisney,34,97.02,Customer,Fun!23,Mulan,2/5/87,2,false,Disney,
lilodisney,35,67.48,Customer,Fun!23,Lilo,8/9/34,2,true,Disney,
stitchdisney,36,66.7,Customer,Fun!23,Stitch,5/16/35,4,true,Disney,
danielmejia,37,22.8,Employee,Fun!23,Daniel,2/22/84,3,true,Mejia,
ashleygilmore,38,6.56,Employee,Fun!23,Ashley,2/3/72,5,true,Gilmore,
dianavalles,39,44.31,Employee,Fun!23,Diana,10/27/05,5,true,Valles,
isabellagaytan,40,34.12,Employee,Fun!23,Isabella,10/9/09,11,true,Gaytan,
dianagarcia,41,12.07,Employee,Fun!23,Diana,2/27/60,4,false,Garcia,
alexisacosta,42,49.39,Employee,Fun!23,Alexis,6/8/80,9,true,Acosta,
akinyemiakinjayeju,43,42.43,Employee,Fun!23,Akinyemi,5/21/18,4,false,Akinjayeju,
bryanarriaga,44,25.9,Employee,Fun!23,Bryan,12/22/73,4,true,Arriaga,
jessicabarragan,45,4.98,Employee,Fun!23,Jessica,6/21/07,10,false,Barragan,
rubencarmonamedrano,46,6.95,Employee,Fun!23,Ruben,6/6/87,7,true,CarmonaMedrano,
brandoncartwrightli,47,17.98,Employee,Fun!23,Brandon,11/9/28,9,true,CartwrightLi,
jasmincuevas,48,33.0,Employee,Fun!23,Jasmin,7/14/33,5,false,Cuevas,
luisdel campo,49,31.18,Employee,Fun!23,Luis,4/18/40,8,true,Del Campo,
garabdorji,50,17.35,Employee,Fun!23,Garab,11/7/75,15,true,Dorji,
marcdriver,51,26.94,Employee,Fun!23,Marc,6/3/84,13,false,Driver,
joseespinoza gonzalez,52,14.05,Employee,Fun!23,Jose,6/19/18,7,true,Espinoza Gonzalez,
alondragonzalezayala,53,41.06,Employee,Fun!23,Alondra,4/12/04,4,true,GonzalezAyala,
omarhoang,54,1.27,Employee,Fun!23,Omar,10/10/39,8,true,Hoang,
ianislas,55,16.15,Employee,Fun!23,Ian,3/22/81,14,true,Islas,
victorlopez,56,50.43,Employee,Fun!23,Victor,8/31/51,11,true,Lopez,
denisseloyavillalobos,57,34.11,Employee,Fun!23,Denisse,1/29/53,7,true,LoyaVillalobos,
miguellucero,58,64.03,Employee,Fun!23,Miguel,11/18/33,5,false,Lucero,
daniellucio,59,31.3,Employee,Fun!23,Daniel,2/26/67,3,true,Lucio,
ashleymagallanes,60,20.96,Employee,Fun!23,Ashley,10/18/27,2,true,Magallanes,
leilamartinez,61,46.54,Employee,Fun!23,Leila,12/17/88,11,true,Martinez,
enriquemunoz,62,1.08,Employee,Fun!23,Enrique,9/7/29,12,true,Munoz,
alejandroolivas,63,2.82,Employee,Fun!23,Alejandro,12/12/90,5,false,Olivas,
santiagoolivas,64,7.77,Employee,Fun!23,Santiago,5/11/42,14,true,Olivas,
bellaquintero,65,12.99,Employee,Fun!23,Bella,8/29/05,4,true,Quintero,
samuelramossanchez,66,32.42,Employee,Fun!23,Samuel,9/29/26,8,true,RamosSanchez,
enriquerico,67,12.87,Employee,Fun!23,Enrique,3/26/18,7,false,Rico,
emiliarivas,68,2.14,Employee,Fun!23,Emilia,11/24/87,5,false,Rivas,
mayrarobles,69,12.49,Employee,Fun!23,Mayra,10/16/26,8,true,Robles,
brianrodilesdelgado,70,5.58,Employee,Fun!23,Brian,9/13/32,7,true,RodilesDelgado,
sethrodriguez,71,46.26,Employee,Fun!23,Seth,2/22/44,7,true,Rodriguez,
jorgerodriguezortega,72,13.08,Employee,Fun!23,Jorge,7/8/55,7,true,RodriguezOrtega,
jose luisrojas,73,18.45,Employee,Fun!23,Jose Luis,3/16/25,11,true,Rojas,
eduardoromero,74,17.21,Employee,Fun!23,Eduardo,3/8/35,12,false,Romero,
gustavorubio,75,21.79,Employee,Fun!23,Gustavo,9/16/42,4,true,Rubio,
sariyahrussell,76,3.67,Employee,Fun!23,Sariyah,7/23/14,8,false,Russell,
ianrybak,77,29.84,Employee,Fun!23,Ian,7/28/09,5,false,Rybak,
luissanchez,78,50.01,Employee,Fun!23,Luis,12/4/48,9,true,Sanchez,
michaelsantoyo,79,30.82,Employee,Fun!23,Michael,4/28/47,11,true,Santoyo,
gabrielasigalaacosta,80,0.2,Employee,Fun!23,Gabriela,1/6/02,8,false,SigalaAcosta,
andressoto,81,38.63,Employee,Fun!23,Andres,9/13/37,12,true,Soto,
gabrielterrazas,82,13.66,Employee,Fun!23,Gabriel,9/17/44,8,true,Terrazas,
sonamtshering,83,28.84,Employee,Fun!23,Sonam,4/9/56,5,false,Tshering,
christinavaltierra,84,37.48,Employee,Fun!23,Christina,12/15/12,11,false,Valtierra,
franciscovazquez,85,5.75,Employee,Fun!23,Francisco,4/13/29,9,false,Vazquez,
andreavillagomez,86,15.14,Employee,Fun!23,Andrea,9/10/82,12,true,Villagomez,
albertovillegas,87,13.97,Employee,Fun!23,Alberto,12/6/20,5,false,Villegas,
geoffwaller,88,49.9,Employee,Fun!23,Geoff,7/29/31,8,true,Waller,
jeffreywalls,89,14.94,Employee,Fun!23,Jeffrey,2/3/52,12,false,Walls,
alexwatson,90,41.61,Employee,Fun!23,Alex,9/14/49,6,true,Watson,
tomperez,91,46.42,Employee,Fun!23,Tom,4/2/54,7,true,Perez,
bradpatel,92,0.38,Employee,Fun!23,Brad,12/17/84,8,false,Patel,
robertlyons,93,32.46,Employee,Fun!23,Robert,4/1/83,10,false,Lyons,
danawilliams,94,50.29,Employee,Fun!23,Dana,3/7/19,7,true,Williams,
brittanyandrews,95,44.78,Employee,Fun!23,Brittany,2/2/94,5,true,Andrews,
seanklein,96,41.47,Employee,Fun!23,Sean,2/26/82,5,true,Klein,
stephaniemcdonald,97,20.66,Employee,Fun!23,Stephanie,8/26/57,9,true,Mcdonald,
danielolson,98,2.34,Employee,Fun!23,Daniel,12/21/17,9,true,Olson,
christophercontreras,99,23.09,Employee,Fun!23,Christopher,6/5/42,7,true,Contreras,
davidbrown,100,3.97,Employee,Fun!23,David,10/26/93,6,true,Brown,
patrickhenderson,101,30.03,Employee,Fun!23,Patrick,2/13/84,15,false,Henderson,
ericaharrison,102,11.26,Employee,Fun!23,Erica,6/18/10,6,false,Harrison,
katherineevans,103,59.13,Employee,Fun!23,Katherine,11/27/95,10,false,Evans,
robertpreston,104,5.61,Employee,Fun!23,Robert,9/25/10,7,true,Preston,
melissamccormick,105,13.57,Employee,Fun!23,Melissa,6/15/15,16,true,Mccormick,
austingriffin,106,21.94,Employee,Fun!23,Austin,3/28/00,8,false,Griffin,
michaelsanchez,107,18.54,Employee,Fun!23,Michael,4/23/51,13,true,Sanchez,
theresaobrien,108,8.7,Employee,Fun!23,Theresa,8/28/49,5,false,Obrien,
chelseagallagher,109,23.65,Employee,Fun!23,Chelsea,8/2/29,6,true,Gallagher,
crystalhudson,110,22.45,Employee,Fun!23,Crystal,1/4/32,14,true,Hudson,
travismcdonald,111,22.01,Employee,Fun!23,Travis,11/7/37,11,false,Mcdonald,
loganpalmer,112,20.73,Employee,Fun!23,Logan,12/8/78,6,true,Palmer,
reneebradley,113,29.97,Employee,Fun!23,Renee,12/30/22,2,false,Bradley,
michelestevens,114,2.76,Employee,Fun!23,Michele,6/23/84,6,true,Stevens,
kirstenrobinson,115,23.54,Employee,Fun!23,Kirsten,4/14/33,10,true,Robinson,
douglasrodriguez,116,5.26,Employee,Fun!23,Douglas,3/27/38,11,false,Rodriguez,
christophernorris,117,5.17,Employee,Fun!23,Christopher,1/18/64,11,false,Norris,
crystalwalker,118,54.91,Employee,Fun!23,Crystal,3/18/65,6,false,Walker,
seanroberts,119,40.03,Employee,Fun!23,Sean,12/14/47,12,false,Roberts,
brittanyhawkins,120,14.89,Employee,Fun!23,Brittany,7/12/08,8,false,Hawkins,
beverlyjohnson,121,59.08,Employee,Fun!23,Beverly,8/27/86,6,false,Johnson,
stephenellis,122,20.34,Employee,Fun!23,Stephen,8/8/55,9,true,Ellis,
jamesking,123,12.65,Employee,Fun!23,James,4/8/22,7,false,King,
pamelacarter,124,32.55,Employee,Fun!23,Pamela,12/30/94,5,true,Carter,
brianandrews,125,55.48,Employee,Fun!23,Brian,10/15/56,6,true,Andrews,
megannoble,126,13.84,Employee,Fun!23,Megan,12/27/50,8,false,Noble,
monicadavenport,127,1.14,Employee,Fun!23,Monica,11/7/63,8,true,Davenport,
michelleholland,128,0.7,Employee,Fun!23,Michelle,1/29/19,4,false,Holland,
kylehodges,129,73.35,Employee,Fun!23,Kyle,12/8/73,5,false,Hodges,
paulawyatt,130,2.13,Employee,Fun!23,Paula,6/29/67,8,true,Wyatt,
shanemiller,131,3.92,Employee,Fun!23,Shane,3/3/66,17,true,Miller,
kimberlykline,132,55.88,Employee,Fun!23,Kimberly,3/31/92,7,true,Kline,
hannaharias,133,35.11,Employee,Fun!23,Hannah,6/11/85,9,false,Arias,
danielhampton,134,12.25,Employee,Fun!23,Daniel,11/16/62,10,false,Hampton,
jerrycurtis,135,0.36,Employee,Fun!23,Jerry,9/25/37,15,false,Curtis,
jeffreyweiss,136,6.12,Employee,Fun!23,Jeffrey,2/19/87,9,false,Weiss,
ronaldparker,137,26.42,Employee,Fun!23,Ronald,1/20/35,4,true,Parker,
christophercoleman,138,22.88,Employee,Fun!23,Christopher,8/19/86,5,true,Coleman,
thomasclark,139,44.13,Employee,Fun!23,Thomas,10/2/77,11,false,Clark,
ashleyromero,140,29.35,Employee,Fun!23,Ashley,5/4/24,14,true,Romero,
gailparker,141,46.87,Employee,Fun!23,Gail,12/22/26,14,true,Parker,
seanmedina,142,8.31,Employee,Fun!23,Sean,9/4/16,3,true,Medina,
edwardhernandez,143,32.17,Employee,Fun!23,Edward,11/17/28,5,true,Hernandez,
toddbrooks,144,5.41,Employee,Fun!23,Todd,7/1/64,9,false,Brooks,
richardtorres,145,37.81,Employee,Fun!23,Richard,5/15/49,4,true,Torres,
davidgardner,146,33.15,Employee,Fun!23,David,9/16/04,10,true,Gardner,
rachelvasquez,147,10.13,Employee,Fun!23,Rachel,10/31/81,8,false,Vasquez,
ashleyevans,148,18.97,Employee,Fun!23,Ashley,10/18/79,11,true,Evans,
nancymorgan,149,11.48,Employee,Fun!23,Nancy,11/18/84,6,false,Morgan,
richardvargas,150,56.88,Employee,Fun!23,Richard,1/2/88,3,true,Vargas,
derrickgrant,151,32.38,Employee,Fun!23,Derrick,9/9/52,7,false,Grant,
victoriamartin,152,58.26,Employee,Fun!23,Victoria,2/28/21,9,false,Martin,
marissawagner,153,0.01,Employee,Fun!23,Marissa,5/17/89,9,true,Wagner,
stephanieharris,154,22.77,Employee,Fun!23,Stephanie,12/3/51,4,false,Harris,
richardblackwell,155,25.81,Employee,Fun!23,Richard,6/9/36,2,false,Blackwell,
dylanharris,156,18.89,Employee,Fun!23,Dylan,2/6/28,2,false,Harris,
philipzamora,157,33.8,Employee,Fun!23,Philip,9/16/33,12,true,Zamora,
melaniekirk,158,9.85,Employee,Fun!23,Melanie,6/16/47,7,true,Kirk,
michaelmoran,159,25.43,Employee,Fun!23,Michael,7/31/24,10,true,Moran,
jasonburke,160,9.41,Employee,Fun!23,Jason,12/19/14,10,true,Burke,
susanhill,161,1.54,Employee,Fun!23,Susan,2/3/29,8,false,Hill,
laurenneal,162,5.5,Employee,Fun!23,Lauren,9/9/61,9,false,Neal,
jenniferwilliams,163,1.1,Employee,Fun!23,Jennifer,4/18/30,11,true,Williams,
haleymoss,164,32.5,Employee,Fun!23,Haley,5/8/02,8,false,Moss,
justinwilson,165,36.59,Employee,Fun!23,Justin,9/17/75,9,false,Wilson,
craigespinoza,166,0.79,Employee,Fun!23,Craig,11/2/82,3,false,Espinoza,
juliealexander,167,18.41,Employee,Fun!23,Julie,9/1/44,12,false,Alexander,
anthonysanchez,168,15.31,Employee,Fun!23,Anthony,2/1/34,4,true,Sanchez,
thomasking,169,45.12,Employee,Fun!23,Thomas,4/19/44,11,false,King,
christinawalker,170,37.42,Employee,Fun!23,Christina,5/3/81,8,false,Walker,
lindabennett,171,12.32,Employee,Fun!23,Linda,12/24/34,7,false,Bennett,
karlajohnson,172,10.96,Employee,Fun!23,Karla,3/24/33,13,true,Johnson,
jillhenderson,173,8.57,Employee,Fun!23,Jill,3/17/94,5,true,Henderson,
sandrarogers,174,2.66,Employee,Fun!23,Sandra,3/31/47,2,true,Rogers,
samuelharrington,175,55.8,Employee,Fun!23,Samuel,10/15/29,5,false,Harrington,
andrewgarcia,176,7.69,Employee,Fun!23,Andrew,12/30/39,6,false,Garcia,
jamespittman,177,34.37,Employee,Fun!23,James,9/23/19,7,true,Pittman,
shannonholden,178,35.8,Employee,Fun!23,Shannon,1/19/12,11,true,Holden,
reneezimmerman,179,4.92,Employee,Fun!23,Renee,9/4/91,5,false,Zimmerman,
richardbrown,180,53.99,Employee,Fun!23,Richard,8/11/64,4,true,Brown,
michaelsmith,181,46.68,Employee,Fun!23,Michael,6/27/14,9,true,Smith,
nathancoleman,182,66.64,Employee,Fun!23,Nathan,2/16/38,5,true,Coleman,
kimberlyrichardson,183,17.14,Employee,Fun!23,Kimberly,9/21/30,13,true,Richardson,
emilyrichardson,184,51.43,Employee,Fun!23,Emily,2/18/78,8,true,Richardson,
michaelwhite,185,12.53,Employee,Fun!23,Michael,12/21/72,12,true,White,
codyscott,186,7.29,Employee,Fun!23,Cody,12/3/32,10,true,Scott,
jeremyalvarez,187,40.32,Employee,Fun!23,Jeremy,2/16/83,4,false,Alvarez,
keithortiz,188,0.41,Employee,Fun!23,Keith,8/23/19,12,false,Ortiz,
markramos,189,32.65,Employee,Fun!23,Mark,6/25/69,7,true,Ramos,
ericvazquez,190,33.89,Employee,Fun!23,Eric,4/18/96,6,false,Vazquez,
jameshammond,191,14.23,Employee,Fun!23,James,7/26/66,7,false,Hammond,
michellemaldonado,192,6.56,Employee,Fun!23,Michelle,5/31/24,10,false,Maldonado,
jeremymorris,193,8.29,Employee,Fun!23,Jeremy,12/26/79,10,true,Morris,
oliviaromero,194,16.7,Employee,Fun!23,Olivia,5/22/78,2,false,Romero,
nicholasanderson,195,12.75,Employee,Fun!23,Nicholas,10/5/23,7,false,Anderson,
kimbuckley,196,5.04,Employee,Fun!23,Kim,9/16/61,7,true,Buckley,
nicolerowland,197,21.54,Employee,Fun!23,Nicole,2/19/84,14,true,Rowland,
samanthahowell,198,17.95,Employee,Fun!23,Samantha,4/24/84,3,true,Howell,
jerrylee,199,29.14,Employee,Fun!23,Jerry,6/2/74,6,true,Lee,
jamesnolan,200,14.17,Employee,Fun!23,James,7/31/02,9,true,Nolan,
sharonmiller,201,18.54,Employee,Fun!23,Sharon,10/25/37,13,true,Miller,
andrewparks,202,59.99,Employee,Fun!23,Andrew,9/18/36,7,false,Parks,
ethanholmes,203,13.88,Employee,Fun!23,Ethan,12/4/10,8,false,Holmes,
marklozano,204,58.48,Employee,Fun!23,Mark,1/7/87,9,true,Lozano,
mollycohen,205,33.55,Employee,Fun!23,Molly,10/27/27,5,false,Cohen,
zacharyellison,206,30.59,Employee,Fun!23,Zachary,7/31/74,14,false,Ellison,
donnaallen,207,57.38,Employee,Fun!23,Donna,1/11/94,10,true,Allen,
amandamiller,208,11.91,Employee,Fun!23,Amanda,4/6/98,5,true,Miller,
shirleyfoster,209,7.97,Employee,Fun!23,Shirley,12/7/56,3,true,Foster,
jeffreydelgado,210,2.81,Employee,Fun!23,Jeffrey,2/13/99,8,false,Delgado,
brianjensen,211,43.19,Employee,Fun!23,Brian,7/13/86,7,false,Jensen,
sheilalewis,212,29.35,Employee,Fun!23,Sheila,9/12/74,16,true,Lewis,
leeburke,213,9.24,Employee,Fun!23,Lee,12/23/89,11,true,Burke,
susanalvarez,214,22.14,Employee,Fun!23,Susan,9/21/19,12,true,Alvarez,
bridgetwagner,215,64.2,Employee,Fun!23,Bridget,7/21/91,5,false,Wagner,
virginiaphelps,216,39.84,Employee,Fun!23,Virginia,11/13/68,5,false,Phelps,
chasemiller,217,19.6,Employee,Fun!23,Chase,8/1/47,8,false,Miller,
timothyromero,218,41.33,Employee,Fun!23,Timothy,3/21/98,5,false,Romero,
cesarjones,219,50.36,Employee,Fun!23,Cesar,3/15/94,7,true,Jones,
kathrynperez,220,19.98,Employee,Fun!23,Kathryn,2/13/51,4,true,Perez,
lisagarrett,221,20.3,Employee,Fun!23,Lisa,12/22/41,13,false,Garrett,
marklee,222,9.08,Employee,Fun!23,Mark,9/9/02,8,true,Lee,
kellyyu,223,41.72,Employee,Fun!23,Kelly,3/9/20,7,false,Yu,
christiansmith,224,34.84,Employee,Fun!23,Christian,4/26/07,8,false,Smith,
robertpark,225,81.71,Employee,Fun!23,Robert,6/5/11,11,true,Park,
arianalara,226,28.14,Employee,Fun!23,Ariana,4/2/67,3,true,Lara,
robertogutierrez,227,62.65,Employee,Fun!23,Roberto,12/8/82,11,false,Gutierrez,
mariamccarthy,228,52.7,Employee,Fun!23,Maria,6/3/68,8,false,Mccarthy,
brittanyray,229,25.81,Employee,Fun!23,Brittany,4/10/13,14,false,Ray,
shannonavery,230,1.74,Employee,Fun!23,Shannon,10/28/39,9,true,Avery,
joannatrevino,231,12.24,Employee,Fun!23,Joanna,2/5/88,7,true,Trevino,
paulfisher,232,15.96,Employee,Fun!23,Paul,8/5/98,8,false,Fisher,
alexanderkelly,233,6.33,Employee,Fun!23,Alexander,8/17/36,6,true,Kelly,
destinyferguson,234,16.33,Employee,Fun!23,Destiny,3/21/84,4,true,Ferguson,
samanthamay,235,7.11,Employee,Fun!23,Samantha,4/3/60,15,true,May,
josephlewis,236,58.37,Employee,Fun!23,Joseph,1/14/06,5,true,Lewis,
andrewcampos,237,15.0,Employee,Fun!23,Andrew,4/13/44,7,false,Campos,
jessemontgomery,238,4.83,Employee,Fun!23,Jesse,2/7/46,8,false,Montgomery,
annagutierrez,239,38.19,Employee,Fun!23,Anna,4/4/70,5,false,Gutierrez,
joelarellano,240,20.35,Employee,Fun!23,Joel,9/24/31,12,true,Arellano,
kayleepatterson,241,53.87,Employee,Fun!23,Kaylee,10/12/32,6,false,Patterson,
jameshenderson,242,17.16,Employee,Fun!23,James,6/16/00,7,false,Henderson,
ashleyjones,243,20.83,Employee,Fun!23,Ashley,4/4/40,3,false,Jones,
erikcase,244,30.0,Employee,Fun!23,Erik,10/16/05,14,false,Case,
dorothycox,245,22.57,Employee,Fun!23,Dorothy,7/1/16,8,true,Cox,
jeffreymarquez,246,41.89,Employee,Fun!23,Jeffrey,2/23/28,9,true,Marquez,
davidgross,247,24.22,Employee,Fun!23,David,12/1/12,9,false,Gross,
christopherwright,248,21.19,Employee,Fun!23,Christopher,12/5/76,8,false,Wright,
jessicamoore,249,39.96,Employee,Fun!23,Jessica,2/9/63,7,true,Moore,
alejandramorris,250,17.12,Employee,Fun!23,Alejandra,10/3/13,9,false,Morris,
darinporter,251,39.46,Employee,Fun!23,Darin,4/28/05,5,false,Porter,
alexisford,252,3.45,Employee,Fun!23,Alexis,2/21/94,10,true,Ford,
barbararobertson,253,1.79,Employee,Fun!23,Barbara,5/29/53,5,true,Robertson,
davidwright,254,28.95,Employee,Fun!23,David,2/27/69,11,false,Wright,
jessicamartin,255,7.09,Employee,Fun!23,Jessica,12/29/29,9,true,Martin,
brookepadilla,256,56.23,Employee,Fun!23,Brooke,9/24/40,13,true,Padilla,
susanhumphrey,257,22.85,Employee,Fun!23,Susan,2/16/23,10,false,Humphrey,
robertwu,258,53.82,Employee,Fun!23,Robert,5/25/32,10,false,Wu,
karenthomas,259,10.42,Employee,Fun!23,Karen,11/29/33,5,false,Thomas,
chrisholden,260,14.63,Employee,Fun!23,Chris,3/11/71,7,false,Holden,
matthewerickson,261,3.44,Employee,Fun!23,Matthew,11/23/07,4,true,Erickson,
leroywalters,262,48.39,Employee,Fun!23,Leroy,9/30/99,8,true,Walters,
briancastillo,263,35.1,Employee,Fun!23,Brian,4/10/32,10,false,Castillo,
jamesromero,264,24.59,Employee,Fun!23,James,9/26/28,6,false,Romero,
karenzhang,265,2.28,Employee,Fun!23,Karen,2/26/12,9,true,Zhang,
davidthomas,266,12.77,Employee,Fun!23,David,12/9/33,12,true,Thomas,
williamhunter,267,42.23,Employee,Fun!23,William,11/7/41,8,false,Hunter,
craigschaefer,268,7.93,Employee,Fun!23,Craig,11/7/19,12,true,Schaefer,
michellejones,269,18.17,Employee,Fun!23,Michelle,5/4/57,10,true,Jones,
angelicabruce,270,42.48,Employee,Fun!23,Angelica,4/17/72,11,true,Bruce,
susanallen,271,28.25,Employee,Fun!23,Susan,3/21/92,14,true,Allen,
tanyadavis,272,1.38,Employee,Fun!23,Tanya,11/30/09,13,false,Davis,
markrichards,273,47.18,Employee,Fun!23,Mark,4/28/87,7,false,Richards,
shannonbennett,274,19.73,Employee,Fun!23,Shannon,3/18/13,7,true,Bennett,
robertdavis,275,10.74,Employee,Fun!23,Robert,8/25/63,11,true,Davis,
allisonchang,276,45.67,Employee,Fun!23,Allison,11/21/81,11,true,Chang,
michaelwilliams,277,0.33,Employee,Fun!23,Michael,7/14/66,15,false,Williams,
susangarcia,278,20.38,Employee,Fun!23,Susan,8/11/03,7,true,Garcia,
mariowalker,279,6.01,Employee,Fun!23,Mario,6/2/91,7,false,Walker,
marychurch,280,9.93,Employee,Fun!23,Mary,1/31/53,11,true,Church,
gregorysullivan,281,0.0,Employee,Fun!23,Gregory,2/6/45,9,true,Sullivan,
laurenhall,282,7.2,Employee,Fun!23,Lauren,11/18/29,5,true,Hall,
dawnking,283,61.42,Employee,Fun!23,Dawn,8/8/30,7,true,King,
danielromero,284,21.71,Employee,Fun!23,Daniel,12/27/16,6,true,Romero,
jacquelinedunn,285,10.35,Employee,Fun!23,Jacqueline,6/15/54,6,false,Dunn,
chrisking,286,24.44,Employee,Fun!23,Chris,5/20/61,5,false,King,
tammymartinez,287,27.56,Employee,Fun!23,Tammy,11/24/97,8,false,Martinez,
dustinoliver,288,30.94,Employee,Fun!23,Dustin,5/1/18,8,true,Oliver,
nicoleharvey,289,49.46,Employee,Fun!23,Nicole,1/14/93,7,true,Harvey,
matthewperez,290,45.04,Employee,Fun!23,Matthew,8/23/70,9,false,Perez,
kristyhoover,291,21.36,Employee,Fun!23,Kristy,4/1/59,7,false,Hoover,
marycruz,292,2.77,Employee,Fun!23,Mary,6/22/23,5,true,Cruz,
alexandrarobinson,293,22.29,Employee,Fun!23,Alexandra,2/10/77,7,false,Robinson,
tamialexander,294,40.32,Employee,Fun!23,Tami,2/13/62,6,false,Alexander,
susandavis,295,53.98,Employee,Fun!23,Susan,10/5/12,11,true,Davis,
jeffreyluna,296,52.82,Employee,Fun!23,Jeffrey,3/30/16,9,false,Luna,
adammaldonado,297,30.56,Employee,Fun!23,Adam,9/10/32,5,false,Maldonado,
mariamitchell,298,54.52,Employee,Fun!23,Maria,3/6/11,6,true,Mitchell,
stephenvillegas,299,4.19,Employee,Fun!23,Stephen,2/1/88,5,true,Villegas,
ryanmcconnell,300,3.48,Employee,Fun!23,Ryan,6/28/18,9,true,Mcconnell,
theresamacias,301,24.18,Employee,Fun!23,Theresa,8/27/00,9,false,Macias,
lancedominguez,302,36.95,Employee,Fun!23,Lance,11/4/97,10,false,Dominguez,
bradleyrodriguez,303,11.15,Employee,Fun!23,Bradley,3/7/35,10,false,Rodriguez,
gloriapage,304,43.65,Employee,Fun!23,Gloria,6/5/00,3,false,Page,
jasmineramirez,305,17.66,Employee,Fun!23,Jasmine,4/30/39,5,true,Ramirez,
davidmills,306,10.9,Employee,Fun!23,David,5/11/78,6,true,Mills,
elizabethkim,307,67.18,Employee,Fun!23,Elizabeth,6/2/95,8,false,Kim,
laurasmith,308,24.1,Employee,Fun!23,Laura,6/17/27,12,true,Smith,
amybradley,309,19.7,Employee,Fun!23,Amy,7/8/24,8,true,Bradley,
denisemorales,310,53.53,Employee,Fun!23,Denise,4/30/74,7,false,Morales,
marissaoconnell,311,59.75,Employee,Fun!23,Marissa,12/31/24,10,false,Oconnell,
gregorymaxwell,312,7.34,Employee,Fun!23,Gregory,11/28/80,4,false,Maxwell,
jennyhenry,313,8.33,Employee,Fun!23,Jenny,3/20/84,8,false,Henry,
matthewcampbell,314,16.92,Employee,Fun!23,Matthew,7/18/92,3,false,Campbell,
lisagaines,315,3.77,Employee,Fun!23,Lisa,3/18/02,8,false,Gaines,
jonathanchristian,316,1.69,Employee,Fun!23,Jonathan,1/11/35,8,false,Christian,
brendadouglas,317,54.89,Employee,Fun!23,Brenda,6/12/68,6,false,Douglas,
rachelphillips,318,46.95,Employee,Fun!23,Rachel,4/16/91,7,false,Phillips,
jadecrawford,319,32.11,Employee,Fun!23,Jade,11/25/80,10,true,Crawford,
brianjacobson,320,4.4,Employee,Fun!23,Brian,8/23/52,8,false,Jacobson,
franciscomoore,321,0.02,Employee,Fun!23,Francisco,12/31/59,8,false,Moore,
